src,dst,val
U,F,-5.4410039394841405
U,G,-5.765998920628615
U,H,-7.56840985541649
U,I,-2.247870496841802
U,J,-5.320802643826775
U,K,-13.815510557964274
U,L,-3.6501711725801296
U,M,-4.88716630617654
U,N,-2.307263825508914
U,O,-6.0699613540411015
U,P,-4.396853142174947
U,Q,-6.53476240955246
U,R,-1.8998218177087345
U,S,-2.322144614282027
U,T,-2.6598596370456837
U,U,-13.815510557964274
U,V,-3.3778618335969144
U,W,-13.815510557964274
U,X,-3.3584658339340456
U,Y,-6.588791372102197
U,Z,-9.065733900230514
V, ,-9.547452452893745
V,A,-1.2489309529372996
V,B,-13.815510557964274
V,C,-13.815510557964274
V,D,-13.815510557964274
V,E,-1.1552956595559687
V,F,-13.815510557964274
V,G,-13.815510557964274
V,H,-13.815510557964274
V,I,-1.926249715227976
V,J,-13.815510557964274
V,K,-13.815510557964274
V,L,-13.815510557964274
V,M,-13.815510557964274
V,N,-13.815510557964274
V,O,-1.643654704846044
V,P,-13.815510557964274
V,Q,-13.815510557964274
V,R,-3.1629418903771764
V,S,-13.815510557964274
V,T,-13.815510557964274
V,U,-4.106178633768792
V,V,-13.815510557964274
V,W,-13.815510557964274
V,X,-13.815510557964274
V,Y,-7.767435795297615
V,Z,-13.815510557964274
W, ,-13.815510557964274
W,A,-0.0028238578072032287
W,B,-13.815510557964274
W,C,-13.815510557964274
W,D,-13.815510557964274
W,E,-13.815510557964274
W,F,-13.815510557964274
W,G,-13.815510557964274
W,H,-13.815510557964274
W,I,-5.870353908792461
W,J,-13.815510557964274
W,K,-13.815510557964274
W,L,-13.815510557964274
W,M,-13.815510557964274
W,N,-13.815510557964274
W,O,-13.815510557964274
W,P,-13.815510557964274
W,Q,-13.815510557964274
W,R,-13.815510557964274
W,S,-13.815510557964274
W,T,-13.815510557964274
W,U,-13.815510557964274
W,V,-13.815510557964274
W,W,-13.815510557964274
W,X,-13.815510557964274
W,Y,-13.815510557964274
W,Z,-13.815510557964274
X, ,-0.33239598005155735
X,A,-3.5365865723793353
X,B,-13.815510557964274
X,C,-3.337103424120398
X,D,-13.815510557964274
X,E,-3.1799219333345254
X,F,-13.815510557964274
X,G,-13.815510557964274
X,H,-5.8006542322569645
X,I,-2.9245806601040516
X,J,-13.815510557964274
X,K,-13.815510557964274
X,L,-13.815510557964274
X,M,-13.815510557964274
X,N,-13.815510557964274
X,O,-7.185957537465323
X,P,-2.8305533820583944
X,Q,-3.9485488501678017
X,R,-13.815510557964274
X,S,-13.815510557964274
X,T,-3.3586090176566326
X,U,-7.8777848361489475
X,V,-5.3152735459878935
X,W,-13.815510557964274
X,X,-13.815510557964274
X,Y,-7.185957537465323
X,Z,-13.815510557964274
Y, ,-1.0041110157263877
Y,A,-1.4057359984750966
Y,B,-13.815510557964274
Y,C,-5.465946559976558
Y,D,-6.969196550511897
Y,E,-1.760768514569141
Y,F,-13.815510557964274
Y,G,-5.87129342527055
Y,H,-13.815510557964274
Y,I,-6.276581195368379
Y,J,-13.815510557964274
Y,K,-13.815510557964274
Y,L,-4.485265130146552
Y,M,-3.569027619967564
Y,N,-6.276581195368379
Y,O,-3.293932863422497
Y,P,-4.718856639372888
Y,Q,-13.815510557964274
Y,R,-4.667568947004888
Y,S,-2.2652353299379655
Y,T,-5.2653188653680685
Y,U,-7.6612809280024425
Y,V,-13.815510557964274
Y,W,-13.815510557964274
Y,X,-13.815510557964274
Y,Y,-13.815510557964274
Y,Z,-7.6612809280024425
Z, ,-0.13740649740136213
Z,A,-4.419761040291734
Z,B,-13.815510557964274
Z,C,-13.815510557964274
Z,D,-13.815510557964274
Z,E,-2.9344400452658923
Z,F,-13.815510557964274
Z,G,-13.815510557964274
Z,H,-13.815510557964274
Z,I,-6.211105213611741
Z,J,-13.815510557964274
Z,K,-13.815510557964274
Z,L,-13.815510557964274
Z,M,-13.815510557964274
Z,N,-13.815510557964274
Z,O,-3.3493742231638493
Z,P,-13.815510557964274
Z,Q,-13.815510557964274
Z,R,-13.815510557964274
Z,S,-13.815510557964274
Z,T,-5.805806203170886
Z,U,-4.265622228596483
Z,V,-6.903754266636243
Z,W,-13.815510557964274
Z,X,-13.815510557964274
Z,Y,-5.518207189899568
Z,Z,-5.518207189899568
